[trc] 2017-03-13 17:28:11 | Pinging peer: 213.136.92.220:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 45.32.237.116:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 193.70.1.222:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 5.189.144.33:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 95.183.52.176:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 163.172.154.211:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 213.32.89.70:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 173.212.202.167:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 193.70.36.212:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 167.114.247.240:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 5.135.52.96:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 212.24.100.75:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 92.222.81.79:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 83.136.249.110:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 91.121.78.92:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 163.172.190.218:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 163.172.169.111:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 5.189.167.169:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 185.92.221.6:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 213.136.79.222:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 5.189.129.197:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 212.24.98.108:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 185.81.166.199:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 212.47.230.66:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 194.135.82.141:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 91.134.141.166:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 193.70.86.148:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 51.255.87.64:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 5.135.22.93:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 46.101.124.27:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 108.61.171.59:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 185.69.55.136:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 188.166.14.166:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 45.76.86.241:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 178.32.203.37:8002
[trc] 2017-03-13 17:28:11 | Pinging peer: 212.24.98.161:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 212.24.107.208:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 185.69.55.98:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 185.69.54.226:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 212.24.100.246:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 91.134.201.243:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 185.69.53.243:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 83.136.253.137:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 109.235.65.129:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 185.81.167.97:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 108.61.170.166:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 194.135.90.179:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 151.80.58.99:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 138.201.189.243:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 194.135.82.14:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 193.70.40.227:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 51.255.38.105:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 83.136.249.90:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 137.74.40.213:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 194.135.85.203:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 137.74.163.76:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 193.70.84.13:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 79.137.33.178:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 194.135.81.7:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 83.136.253.105:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 91.134.142.135:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 138.68.107.22:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 194.116.72.47:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 83.136.248.232:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 212.24.102.163:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 83.136.248.121:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 51.15.141.44:8000
[trc] 2017-03-13 17:28:11 | Pinging peer: 89.40.120.235:8000
